title,comment,play,pic,aid,bvid,created,date,time,length,video_review,favorite,coin,share,like
小伙嫌天气太热，在家自制清凉解暑超容易的小饮品~,2111,810670,//i0.hdslb.com/bfs/archive/7a2376d1d37449618ef407ba96995e9f297ffe85.jpg,838599792,BV1Mg4y1v7cc,1592138136,2020/6/14,20:35:36,06:04,8395,5584,6016,821,72623
小伙花7个小时用拼图做出了个球？还可以用来打保龄球,2646,1735230,//i0.hdslb.com/bfs/archive/cb48f19874f7eb7bc574fae8ee0f0d15f95a93d8.jpg,668476266,BV1Ka4y1Y7Li,1591952723,2020/6/12,17:5:23,06:59,13225,21971,66327,1679,191238
小伙屯了大半年的快递一次性开光，都买了些啥？,2591,1454249,//i2.hdslb.com/bfs/archive/5cf2a3fc306126499f53f75414ae3886d346cddd.jpg,413461495,BV1YV411r7Cs,1591783532,2020/6/10,18:5:32,09:04,15287,6016,13298,948,114834
小伙花500元买了”无人认领的快递”，真的可以开出手机平板？,3631,2796241,//i1.hdslb.com/bfs/archive/189a488e26a050aa6c843413f65409a0b85db8cf.jpg,838403420,BV1Ug4y1i7bt,1591176787,2020/6/3,17:33:7,07:43,28152,9150,33971,2658,171529
小伙24小时只吃蓝颜色的食物，最后嘴巴都变蓝了,3660,1788255,//i2.hdslb.com/bfs/archive/e92aad71587b4a82add5184b2d50d834bb4e2dc5.jpg,583327107,BV1Az4y1974r,1590919299,2020/5/31,18:1:39,04:55,25636,6438,10332,1229,121726
短视频上的生活小妙招真的有用吗？小伙学会就学废了,2759,1947144,//i0.hdslb.com/bfs/archive/85abd8ec5a88873190cd4b1cd28ad7e8655618eb.jpg,625817126,BV11t4y1C71R,1590757065,2020/5/29,20:57:45,05:39,15035,6738,11931,1475,138655
小伙花6小时把锡纸搓成了铁球？感觉在浪费青春,3875,1635846,//i1.hdslb.com/bfs/archive/ab98b30575b0e52cb132916ff9a741bfd29d3ed4.jpg,795757608,BV1PC4y1p7HD,1590484271,2020/5/26,17:11:11,04:21,5227,5158,10842,796,110690
小伙花24小时搭5000块多米诺骨牌，推倒瞬间太爽了,3110,1695818,//i0.hdslb.com/bfs/archive/315451415c0219e025c3afde97b7f6ce8d43ca10.jpg,753314460,BV1Pk4y1r7wJ,1590307409,2020/5/24,16:3:29,06:18,14753,11003,39057,1158,144941
小伙尝试做日本爆红薯片懒人玉子烧，只用薯片袋就可以做！,3428,1775465,//i2.hdslb.com/bfs/archive/b685c80bf8cec594d92eae6a040907ee4b03c51c.jpg,795852954,BV1vC4y1p74B,1590229567,2020/5/23,18:26:7,04:31,7155,7200,12592,900,133832
小伙挑战用1万根橡皮筋做一个篮球，弹力会更好吗？,4016,2076128,//i0.hdslb.com/bfs/archive/a47041a46538df7f0d6da193f170e258b4801f84.jpg,668271064,BV1ya4y1e7w3,1590225046,2020/5/23,17:10:46,03:49,13137,8419,21197,1102,153104
